,Name,Accuracy,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4,Precision_5,Precision_6,Precision_7,Precision_8,Precision_9,Precision_10,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Recall_5,Recall_6,Recall_7,Recall_8,Recall_9,Recall_10,f1-score_0,f1-score_1,f1-score_2,f1-score_3,f1-score_4,f1-score_5,f1-score_6,f1-score_7,f1-score_8,f1-score_9,f1-score_10
0,Logistic Regression,0.649,0.57,0.761,0.474,0.529,0.68,0.867,0.571,0.664,0.777,0.404,0.915,0.741,0.638,0.395,0.13,0.858,0.559,0.065,0.768,0.68,0.472,0.936,0.644,0.694,0.431,0.209,0.759,0.68,0.116,0.712,0.725,0.435,0.926
1,Decision Tree,0.356,0.316,0.22,0.218,0.125,0.434,0.47,0.049,0.464,0.543,0.21,0.613,0.323,0.257,0.211,0.13,0.438,0.419,0.048,0.449,0.445,0.238,0.578,0.319,0.237,0.214,0.128,0.436,0.443,0.049,0.456,0.489,0.223,0.595
2,KNN,0.494,0.437,0.5,0.279,0.246,0.526,0.578,0.389,0.53,0.738,0.226,0.79,0.518,0.533,0.36,0.232,0.725,0.398,0.226,0.476,0.594,0.145,0.803,0.474,0.516,0.314,0.239,0.61,0.471,0.286,0.501,0.658,0.177,0.797
3,Multinomial Naive Bayes,0.383,0.473,1.0,0.0,0.0,0.236,0.0,0.0,0.808,0.909,0.273,0.961,0.668,0.01,0.0,0.0,0.996,0.0,0.0,0.432,0.078,0.062,0.705,0.554,0.019,0.0,0.0,0.382,0.0,0.0,0.563,0.144,0.101,0.813
4,Gaussian Naive Bayes,0.389,0.395,0.532,0.229,0.19,0.325,0.467,0.048,0.496,0.424,0.219,0.741,0.514,0.4,0.07,0.058,0.644,0.226,0.016,0.357,0.461,0.249,0.578,0.447,0.457,0.107,0.089,0.432,0.304,0.024,0.415,0.442,0.233,0.649
5,SVC,0.633,0.5,0.788,0.554,0.5,0.709,0.889,0.5,0.686,0.832,0.356,0.963,0.782,0.6,0.316,0.058,0.815,0.516,0.032,0.757,0.656,0.523,0.908,0.61,0.681,0.402,0.104,0.758,0.653,0.061,0.72,0.734,0.423,0.935
6,AdaBoost,0.425,0.272,0.5,0.283,0.25,0.464,0.646,0.231,0.367,0.581,0.259,0.786,0.377,0.133,0.228,0.058,0.524,0.452,0.097,0.735,0.586,0.15,0.763,0.316,0.211,0.252,0.094,0.492,0.532,0.136,0.489,0.584,0.19,0.774
7,Gradient Boosting,0.573,0.489,0.63,0.38,0.389,0.656,0.68,0.393,0.646,0.693,0.304,0.902,0.605,0.486,0.36,0.203,0.73,0.548,0.177,0.681,0.688,0.363,0.855,0.541,0.548,0.369,0.267,0.691,0.607,0.244,0.663,0.69,0.331,0.878
8,Random Forest,0.54,0.488,0.696,0.343,0.75,0.501,0.773,0.5,0.508,0.784,0.306,0.772,0.623,0.305,0.316,0.043,0.807,0.366,0.032,0.827,0.539,0.192,0.919,0.547,0.424,0.329,0.082,0.618,0.496,0.061,0.63,0.639,0.236,0.839
9,XGBoost,0.14,0.0,1.0,0.0,0.0,0.487,0.071,0.095,1.0,0.231,0.0,0.123,0.0,0.01,0.0,0.0,0.163,0.054,0.032,0.005,0.023,0.0,0.983,0.0,0.019,0.0,0.0,0.244,0.061,0.048,0.011,0.043,0.0,0.219
10,CatBoost,0.62,0.561,0.636,0.399,0.552,0.688,0.738,0.552,0.631,0.783,0.41,0.856,0.605,0.6,0.5,0.232,0.794,0.516,0.258,0.73,0.703,0.415,0.89,0.582,0.618,0.444,0.327,0.737,0.608,0.352,0.677,0.741,0.412,0.873
11,LightGBM,0.617,0.543,0.644,0.393,0.5,0.683,0.74,0.538,0.672,0.77,0.383,0.926,0.636,0.552,0.404,0.217,0.777,0.581,0.226,0.73,0.68,0.477,0.867,0.586,0.595,0.398,0.303,0.727,0.651,0.318,0.699,0.722,0.425,0.896
