,Name,Accuracy,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4,Precision_5,Precision_6,Precision_7,Precision_8,Precision_9,Precision_10,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Recall_5,Recall_6,Recall_7,Recall_8,Recall_9,Recall_10,f1-score_0,f1-score_1,f1-score_2,f1-score_3,f1-score_4,f1-score_5,f1-score_6,f1-score_7,f1-score_8,f1-score_9,f1-score_10
0,Logistic Regression,0.64,0.558,0.738,0.536,0.857,0.635,0.85,0.714,0.646,0.788,0.362,0.91,0.723,0.59,0.395,0.174,0.845,0.548,0.161,0.789,0.695,0.389,0.936,0.63,0.656,0.455,0.289,0.726,0.667,0.263,0.71,0.739,0.375,0.923
1,Decision Tree,0.348,0.327,0.214,0.23,0.047,0.392,0.404,0.103,0.481,0.504,0.186,0.638,0.323,0.21,0.246,0.043,0.399,0.409,0.097,0.476,0.469,0.218,0.561,0.325,0.212,0.237,0.045,0.396,0.406,0.1,0.478,0.486,0.2,0.597
2,KNN,0.516,0.448,0.519,0.307,0.259,0.532,0.61,0.515,0.55,0.764,0.286,0.775,0.586,0.514,0.368,0.203,0.704,0.387,0.274,0.562,0.633,0.176,0.798,0.508,0.517,0.335,0.228,0.606,0.474,0.358,0.556,0.692,0.218,0.786
3,Multinomial Naive Bayes,0.408,0.471,0.0,0.0,0.0,0.247,1.0,0.0,0.837,1.0,0.36,0.977,0.709,0.0,0.0,0.0,0.991,0.011,0.0,0.47,0.164,0.093,0.74,0.566,0.0,0.0,0.0,0.395,0.021,0.0,0.602,0.282,0.148,0.842
4,Gaussian Naive Bayes,0.405,0.427,0.538,0.4,0.182,0.331,0.512,0.267,0.51,0.385,0.233,0.786,0.532,0.333,0.088,0.058,0.682,0.237,0.065,0.432,0.445,0.264,0.572,0.474,0.412,0.144,0.088,0.445,0.324,0.104,0.468,0.413,0.248,0.662
5,SVC,0.622,0.496,0.791,0.581,1.0,0.677,0.882,0.833,0.659,0.84,0.331,0.939,0.755,0.505,0.316,0.043,0.845,0.484,0.081,0.773,0.656,0.477,0.896,0.598,0.616,0.409,0.083,0.752,0.625,0.147,0.711,0.737,0.391,0.917
6,AdaBoost,0.418,0.241,0.355,0.298,0.1,0.448,0.582,0.185,0.513,0.688,0.203,0.773,0.432,0.257,0.219,0.029,0.571,0.419,0.081,0.622,0.602,0.13,0.671,0.309,0.298,0.253,0.045,0.502,0.488,0.112,0.562,0.642,0.158,0.718
7,Gradient Boosting,0.576,0.494,0.64,0.512,0.357,0.624,0.649,0.448,0.632,0.77,0.311,0.82,0.609,0.457,0.386,0.217,0.768,0.516,0.21,0.697,0.68,0.358,0.815,0.546,0.533,0.44,0.27,0.688,0.575,0.286,0.663,0.722,0.333,0.817
8,Random Forest,0.548,0.482,0.698,0.441,1.0,0.474,0.822,1.0,0.527,0.786,0.276,0.779,0.605,0.286,0.36,0.043,0.85,0.398,0.048,0.838,0.602,0.14,0.919,0.536,0.405,0.396,0.083,0.608,0.536,0.092,0.647,0.681,0.186,0.844
9,XGBoost,0.578,0.476,0.658,0.459,0.484,0.611,0.687,0.48,0.658,0.718,0.323,0.842,0.595,0.457,0.342,0.217,0.777,0.495,0.194,0.719,0.695,0.378,0.832,0.529,0.539,0.392,0.3,0.684,0.575,0.276,0.687,0.706,0.348,0.837
10,CatBoost,0.618,0.549,0.582,0.534,0.5,0.661,0.757,0.5,0.629,0.752,0.394,0.842,0.664,0.505,0.482,0.217,0.777,0.57,0.29,0.751,0.664,0.383,0.89,0.601,0.541,0.507,0.303,0.714,0.65,0.367,0.685,0.705,0.388,0.865
11,LightGBM,0.61,0.529,0.716,0.454,0.433,0.656,0.736,0.5,0.68,0.772,0.342,0.879,0.664,0.505,0.386,0.188,0.803,0.57,0.274,0.746,0.688,0.399,0.838,0.589,0.592,0.417,0.263,0.722,0.642,0.354,0.711,0.727,0.368,0.858
