iter	MultiClass
0	2.33876826
1	2.273759
2	2.228904687
3	2.197849121
4	2.163606813
5	2.138985522
6	2.112209915
7	2.082936099
8	2.062502888
9	2.03673425
10	2.020192813
11	2.000013074
12	1.981699213
13	1.965623756
14	1.952724189
15	1.941625466
16	1.924651356
17	1.914020074
18	1.902265262
19	1.89104802
20	1.881796827
21	1.871247281
22	1.860434227
23	1.851189582
24	1.840438194
25	1.831819806
26	1.821905274
27	1.816120524
28	1.807366624
29	1.797717573
30	1.789700345
31	1.780925885
32	1.772706864
33	1.766247513
34	1.759756705
35	1.749258789
36	1.740927136
37	1.73560374
38	1.728565931
39	1.723485569
40	1.717057264
41	1.712165961
42	1.707673273
43	1.702016596
44	1.696833984
45	1.690030078
46	1.683031724
47	1.674947383
48	1.667707402
49	1.664075429
50	1.658156559
51	1.653087322
52	1.648614216
53	1.641690709
54	1.633877698
55	1.628079298
56	1.62378091
57	1.618111516
58	1.613335744
59	1.605369201
60	1.599900059
61	1.594871376
62	1.591381126
63	1.584913041
64	1.58037987
65	1.576258965
66	1.569590478
67	1.566224096
68	1.563482766
69	1.560150295
70	1.555401148
71	1.551694081
72	1.548588985
73	1.546169649
74	1.543181206
75	1.538935026
76	1.53534497
77	1.532440608
78	1.528355458
79	1.523159943
80	1.5190794
81	1.515855684
82	1.510660395
83	1.50674566
84	1.500105752
85	1.496527203
86	1.492907608
87	1.488596462
88	1.484871469
89	1.480440837
90	1.475830981
91	1.472870874
92	1.468906571
93	1.465410144
94	1.462224013
95	1.459579372
96	1.455923047
97	1.452879522
98	1.448950117
99	1.446068589
100	1.44211396
101	1.437061127
102	1.433819469
103	1.430100594
104	1.425576047
105	1.421066975
106	1.417220341
107	1.412710372
108	1.408113083
109	1.403462979
110	1.400747411
111	1.396575791
112	1.393088117
113	1.389131136
114	1.385013336
115	1.382110847
116	1.378058856
117	1.374508658
118	1.37112819
119	1.366532728
120	1.362923815
121	1.358221654
122	1.356025156
123	1.353096713
124	1.350209181
125	1.348999707
126	1.346633587
127	1.342198444
128	1.340227691
129	1.336565297
130	1.334651729
131	1.331153109
132	1.328166776
133	1.323814576
134	1.320839807
135	1.318317737
136	1.316046362
137	1.313380916
138	1.310216762
139	1.307495315
140	1.30560776
141	1.30359762
142	1.301478247
143	1.29993939
144	1.296759075
145	1.294350297
146	1.290765645
147	1.287802838
148	1.285310928
149	1.283722838
150	1.281011946
151	1.278417558
152	1.275356004
153	1.272107389
154	1.269332958
155	1.266956598
156	1.265147375
157	1.262016602
158	1.258968592
159	1.255986752
160	1.254661392
161	1.252495216
162	1.250307429
163	1.248591656
164	1.246131627
165	1.243575301
166	1.241737396
167	1.240261903
168	1.237757505
169	1.235297363
170	1.233901766
171	1.232235986
172	1.23037817
173	1.228520023
174	1.227399621
175	1.22627776
176	1.224497998
177	1.222071796
178	1.219995979
179	1.217700317
180	1.21685735
181	1.214306587
182	1.212274902
183	1.211171457
184	1.210544786
185	1.209314423
186	1.208052802
187	1.205846838
188	1.204350337
189	1.202656948
190	1.201779865
191	1.200128842
192	1.198543346
193	1.196733648
194	1.195728638
195	1.193353
196	1.191422609
197	1.189499698
198	1.18863852
199	1.186366688
200	1.184552788
201	1.184040895
202	1.182516798
203	1.18068481
204	1.180138777
205	1.178762285
206	1.178134967
207	1.175893919
208	1.17533739
209	1.174864667
210	1.173510918
211	1.17230996
212	1.170816539
213	1.170043821
214	1.168476197
215	1.167857249
216	1.166182684
217	1.164520857
218	1.163737308
219	1.162108678
220	1.160528303
221	1.159887002
222	1.158698266
223	1.157819617
224	1.156606724
225	1.155449381
226	1.153478962
227	1.152071396
228	1.150910885
229	1.149782951
230	1.148664652
231	1.148184935
232	1.147857393
233	1.146713133
234	1.145841454
235	1.144483727
236	1.143246971
237	1.141824731
238	1.141090496
239	1.140498729
240	1.139218251
241	1.138007785
242	1.137732676
243	1.136974398
244	1.136060041
245	1.135784658
246	1.134956437
247	1.134232869
248	1.132468075
249	1.131571243
250	1.129917585
251	1.129189951
252	1.128937985
253	1.128519515
254	1.127627816
255	1.125838215
256	1.124595419
257	1.123486451
258	1.122311369
259	1.121984508
260	1.120770947
261	1.119372296
262	1.119145737
263	1.118968347
264	1.118472479
265	1.117173627
266	1.116210789
267	1.114707828
268	1.113764885
269	1.113239059
270	1.111665369
271	1.111385504
272	1.110605896
273	1.109903865
274	1.108756412
275	1.108584397
276	1.107929253
277	1.107372004
278	1.106557025
279	1.106050748
280	1.104647778
281	1.103607313
282	1.102347587
283	1.102077557
284	1.101325318
285	1.099978786
286	1.098052429
287	1.096466136
288	1.095449827
289	1.095246688
290	1.094559092
291	1.093843003
292	1.093490068
293	1.092872492
294	1.092449018
295	1.091723261
296	1.091256272
297	1.09052876
298	1.089342751
299	1.088668252
300	1.087316942
301	1.08715031
302	1.086698127
303	1.086435098
304	1.085477343
305	1.085085266
306	1.083712455
307	1.083419289
308	1.082939734
309	1.081037907
310	1.079680747
311	1.078783061
312	1.078135938
313	1.077911922
314	1.076181486
315	1.074844337
316	1.074532271
317	1.074140789
318	1.073171614
319	1.072905837
320	1.071852
321	1.070845036
322	1.070645079
323	1.069929558
324	1.06971938
325	1.0681112
326	1.067715005
327	1.067094604
328	1.066137132
329	1.065246758
330	1.064810875
331	1.063856838
332	1.06271761
333	1.06199456
334	1.060920907
335	1.060445312
336	1.059917854
337	1.058603289
338	1.057017111
339	1.056810871
340	1.056546628
341	1.056268583
342	1.055353359
343	1.054527015
344	1.054040146
345	1.053578453
346	1.053303336
347	1.053025931
348	1.051889809
349	1.051422868
350	1.050744586
351	1.049664899
352	1.048468835
353	1.048167118
354	1.047453913
355	1.04716898
356	1.046864044
357	1.046633064
358	1.045379717
359	1.04515312
360	1.04488333
361	1.044615103
362	1.04370177
363	1.043257973
364	1.042978759
365	1.042621634
366	1.041845362
367	1.041609827
368	1.04134657
369	1.040733602
370	1.040487322
371	1.039656745
372	1.038761246
373	1.038615894
374	1.037660715
375	1.037270421
376	1.036285927
377	1.035276548
378	1.034497293
379	1.034215687
380	1.033943206
381	1.033320928
382	1.03269279
383	1.03239303
384	1.032133694
385	1.03172867
386	1.031081422
387	1.030872361
388	1.03066629
389	1.030124635
390	1.029611625
391	1.029161073
392	1.028912798
393	1.028298746
394	1.027737413
395	1.027387663
396	1.026837573
397	1.026551906
398	1.026237171
399	1.025871753
400	1.025644394
401	1.025183958
402	1.025066027
403	1.023367342
404	1.022790807
405	1.022110568
406	1.021770195
407	1.0205639
408	1.020398732
409	1.019752233
410	1.019381632
411	1.019028704
412	1.018699276
413	1.018074305
414	1.017715137
415	1.01746163
416	1.017300772
417	1.017157455
418	1.016511897
419	1.0151871
420	1.014250192
421	1.013974326
422	1.013744737
423	1.013601019
424	1.012724158
425	1.011415025
426	1.011228333
427	1.010906239
428	1.010731315
429	1.010445931
430	1.009991926
431	1.009223462
432	1.009080196
433	1.00882002
434	1.007896962
435	1.007675184
436	1.00723626
437	1.006990674
438	1.005698739
439	1.00540745
440	1.005110898
441	1.004698316
442	1.004284036
443	1.00410021
444	1.003652394
445	1.003315212
446	1.002466276
447	1.002257801
448	1.001512819
449	1.001176127
450	1.000763678
451	1.00046323
452	0.9992285631
453	0.9986186134
454	0.9982059897
455	0.9971725054
456	0.9964702214
457	0.99624615
458	0.9956185336
459	0.9953002916
460	0.9950689081
461	0.9945371296
462	0.9943221163
463	0.9940384165
464	0.9937371502
465	0.9932476643
466	0.99312238
467	0.9929225933
468	0.9927475435
469	0.9925163085
470	0.9921144215
471	0.9915184189
472	0.9913498304
473	0.991159247
474	0.9905890251
475	0.9903480246
476	0.9898341868
477	0.9895766735
478	0.9894238525
479	0.9891978132
480	0.9888789548
481	0.9881055062
482	0.9878836286
483	0.9871472493
484	0.9859058132
485	0.9857263719
486	0.9856030742
487	0.9849743673
488	0.9837612634
489	0.9835623751
490	0.9834630896
491	0.9833398143
492	0.9827618483
493	0.9823654585
494	0.982166848
495	0.981931061
496	0.9816746268
497	0.9815123631
498	0.980992879
499	0.9800575286
500	0.9791364773
501	0.9788717461
502	0.9786432227
503	0.978460778
504	0.9781865585
505	0.9776383638
506	0.9766571783
507	0.9763214955
508	0.9760470061
509	0.9751578556
510	0.9747541011
511	0.9745346765
512	0.9741034472
513	0.9738576392
514	0.9737801634
515	0.9736406173
516	0.9733448923
517	0.9721802738
518	0.9720636451
519	0.9718315614
520	0.9713378516
521	0.9709425725
522	0.9702816982
523	0.9699996929
524	0.969810601
525	0.9693939749
526	0.9689808266
527	0.9687134938
528	0.9685536355
529	0.9681022793
530	0.9678411138
531	0.9675977554
532	0.9674129852
533	0.966935927
534	0.9668173794
535	0.9665985688
536	0.966468133
537	0.9661838685
538	0.9650643907
539	0.9646282476
540	0.9643965509
541	0.9641007504
542	0.9632036307
543	0.9629551773
544	0.9627460782
545	0.9624705511
546	0.9621706316
547	0.9619927927
548	0.9616926945
549	0.9613109577
550	0.9606989992
551	0.9604642907
552	0.9603979128
553	0.960065297
554	0.9598745744
555	0.9596799778
556	0.9594847149
557	0.9593026787
558	0.959100401
559	0.9586785475
560	0.9585038447
