iter	Passed	Remaining
0	3648	3644684
1	7219	3602461
2	10788	3585224
3	14675	3654126
4	18557	3693028
5	22977	3806609
6	27020	3833084
7	31376	3890714
8	35993	3963278
9	40098	3969703
10	43840	3941681
11	47634	3921934
12	51252	3891266
13	54805	3859891
14	58456	3838615
15	62024	3814497
16	65532	3789332
17	69178	3774085
18	72707	3753977
19	76270	3737244
20	79896	3724706
21	83464	3710366
22	86988	3695112
23	90662	3686927
24	94206	3674067
25	97741	3661529
26	101327	3651534
27	104878	3640798
28	108433	3630637
29	112026	3622201
30	115590	3613126
31	119133	3603793
32	122823	3599110
33	126386	3590866
34	130001	3584323
35	133807	3583063
36	137564	3580396
37	141374	3578996
38	145044	3574039
39	148545	3565101
40	152078	3557152
41	155832	3554469
42	159475	3549262
43	163323	3548564
44	166968	3543445
45	170528	3536609
46	174082	3529799
47	177596	3522334
48	181194	3516653
49	184730	3509888
50	188361	3505009
51	191879	3498104
52	195464	3492546
53	199071	3487443
54	202651	3481922
55	206237	3476575
56	209875	3472146
57	213460	3466895
58	217080	3462255
59	220766	3458671
60	224384	3454048
61	228021	3449742
62	231771	3447140
63	235386	3442532
64	239148	3440059
65	242828	3436386
66	246427	3431596
67	250012	3426639
68	253644	3422368
69	257189	3416951
70	260853	3413141
71	264535	3409574
72	268081	3404269
73	271773	3400836
74	275365	3396169
75	278916	3391037
76	282588	3387388
77	286221	3383288
78	289867	3379342
79	293450	3374681
80	297108	3370897
81	300746	3366893
82	304276	3361701
83	307894	3357513
84	311481	3353011
85	315061	3348448
86	318800	3345570
87	322411	3341350
88	326034	3337279
89	329711	3333749
90	333299	3329333
91	336873	3324792
92	340522	3321007
93	344059	3316150
94	347653	3311858
95	351304	3308119
96	354844	3303347
97	358397	3298716
98	361972	3294318
99	365581	3290234
100	369103	3285384
101	372671	3280968
102	376225	3276445
103	379755	3271739
104	383402	3268052
105	386965	3263649
106	390542	3259385
107	394159	3255467
108	397819	3251897
109	401453	3248120
110	405041	3243985
111	408608	3239677
112	412210	3235670
113	415874	3232144
114	419438	3227852
115	423002	3223570
116	426642	3219874
117	430261	3216024
118	433820	3211728
119	437477	3208170
120	441095	3204318
121	444735	3200637
122	448484	3197728
123	452160	3194297
124	455902	3191314
125	459701	3188724
126	463473	3185926
127	467078	3181972
128	471103	3180862
129	474844	3177804
130	478459	3173904
131	482177	3170683
132	486181	3169315
133	489707	3164828
134	493353	3161116
135	496922	3156917
136	500655	3153763
137	504156	3149149
138	507732	3145021
139	511468	3141875
140	515434	3140127
141	519165	3136929
142	522868	3133552
143	526532	3129942
144	530628	3128877
145	534129	3124294
146	537581	3119434
147	541384	3116616
148	545241	3114099
149	548916	3110529
150	552676	3107430
151	556517	3104781
152	559975	3099997
153	564032	3098514
154	568147	3097318
155	572242	3095980
156	576028	3092944
157	579695	3089264
158	583341	3085475
159	587045	3081986
160	590753	3078520
161	594776	3076685
162	598541	3073490
163	602455	3071054
164	605991	3066684
165	609555	3062464
166	613061	3057964
167	616539	3053339
168	620034	3048809
169	623982	3046504
170	627830	3043694
171	631901	3041944
172	635949	3040058
173	639574	3036143
174	643063	3031586
175	646660	3027546
176	650985	3026897
177	654538	3022645
178	658069	3018297
179	661640	3014140
180	665159	3009755
181	668701	3005482
182	672354	3001715
183	675887	2997415
184	679566	2993767
185	683335	2990510
186	687456	2988781
187	691089	2984918
188	694769	2981259
189	698864	2979368
190	702339	2974832
191	705781	2970164
192	709303	2965842
193	712747	2961207
194	716175	2956519
195	720033	2953605
196	723900	2950719
197	727482	2946669
198	731658	2945017
199	735516	2942064
200	739220	2938494
201	743008	2935252
202	746573	2931130
203	750839	2929746
204	754414	2925657
205	758092	2921968
206	761673	2917908
207	765345	2914200
208	769009	2910460
209	772506	2906096
210	775965	2901597
211	780074	2899522
212	783598	2895269
213	787087	2890891
214	790666	2886852
215	794109	2882321
216	797615	2878033
217	801114	2873722
218	804526	2869109
219	807975	2864639
220	811463	2860318
221	814901	2855825
222	818317	2851268
223	821797	2846941
224	825228	2842452
225	828726	2838203
226	832248	2834043
227	835685	2829600
228	839152	2825267
229	842800	2821550
230	846492	2817976
231	850160	2814323
232	853815	2810627
233	857307	2806400
234	860781	2802118
235	865174	2800820
236	869980	2800821
237	874091	2798562
238	877955	2795499
239	881440	2791227
240	885076	2787440
241	889153	2785034
242	892754	2781131
243	896930	2779012
244	901126	2776941
245	904963	2773750
246	909090	2771438
247	913446	2769804
248	917605	2767557
249	921325	2763975
250	925264	2761046
251	928727	2756697
252	932314	2752723
253	935903	2748754
254	939706	2745417
255	943405	2741772
256	948098	2741000
257	952071	2738127
258	956251	2735839
259	960345	2733291
260	964470	2730819
261	968025	2726728
262	972310	2724688
263	976020	2721025
264	979783	2717511
265	983579	2714087
266	987363	2710628
267	991073	2706961
268	994876	2703548
269	999632	2702709
270	1004181	2701286
271	1008728	2699832
272	1012758	2696980
273	1016495	2693342
274	1020511	2690438
275	1024126	2686476
276	1027960	2683087
277	1031733	2679537
278	1036148	2677644
279	1040528	2675645
280	1044687	2673061
281	1048435	2669421
282	1052273	2666007
283	1055985	2662272
284	1059753	2658679
285	1063470	2654958
286	1067339	2651613
287	1071025	2647811
288	1074693	2643969
289	1078436	2640310
290	1082118	2636502
291	1085882	2632893
292	1089626	2629234
293	1093352	2625534
294	1097015	2621681
295	1100744	2617986
296	1104504	2614366
297	1108249	2610708
298	1111976	2607008
299	1116006	2604015
300	1119755	2600361
301	1124322	2598600
302	1128584	2596117
303	1132662	2593201
304	1136514	2589761
305	1140517	2586664
306	1144420	2583333
307	1149051	2581634
308	1153735	2580035
309	1157645	2576695
310	1161705	2573681
311	1166209	2571640
312	1170970	2570150
313	1175650	2568458
314	1180334	2566759
315	1184509	2563938
316	1188734	2561217
317	1192518	2557539
318	1196334	2553929
319	1200122	2550260
320	1204131	2547057
321	1208334	2544257
322	1212225	2540793
323	1216179	2537461
324	1220420	2534720
325	1224127	2530864
326	1227791	2526922
327	1231421	2522913
328	1235012	2518824
329	1238616	2514766
330	1242267	2510806
331	1245868	2506746
332	1249544	2502841
333	1253211	2498918
334	1256836	2494914
335	1260393	2490777
336	1263963	2486669
337	1267576	2482649
338	1271160	2478575
339	1274794	2474601
340	1278404	2470581
341	1281978	2466497
342	1285607	2462518
343	1289228	2458527
344	1292849	2454540
345	1296511	2450630
346	1300182	2446741
347	1303756	2442669
348	1307607	2439119
349	1311168	2435026
350	1314765	2431005
351	1318595	2427415
352	1322195	2423401
353	1325758	2419321
354	1329440	2415463
355	1333107	2411577
356	1337307	2408651
357	1341116	2405019
358	1344918	2401372
359	1349042	2398298
360	1353355	2395550
361	1357088	2391775
362	1360830	2388014
363	1364627	2384348
364	1368492	2380801
365	1372129	2376858
366	1375802	2372978
367	1379451	2369058
368	1383164	2365247
369	1386891	2361463
370	1390587	2357626
371	1394250	2353734
372	1397928	2349868
373	1401598	2345991
374	1405197	2341995
375	1408845	2338083
376	1412533	2334239
377	1416220	2330394
378	1419841	2326442
379	1423530	2322601
380	1427143	2318639
381	1430823	2314787
382	1434577	2311055
383	1438385	2307409
384	1442046	2303528
385	1446223	2300469
386	1449895	2296603
387	1453551	2292715
388	1457620	2289475
389	1461219	2285497
390	1464877	2281611
391	1468783	2278113
392	1472493	2274309
393	1476174	2270461
394	1480259	2267233
395	1483899	2263321
396	1487923	2259994
397	1491689	2256274
398	1495749	2252995
399	1499387	2249081
400	1503190	2245414
401	1506949	2241680
402	1510577	2237753
403	1514260	2233909
404	1517860	2229942
405	1521477	2226004
406	1525197	2222215
407	1528786	2218239
408	1532447	2214367
409	1536118	2210511
410	1539708	2206540
411	1543286	2202554
412	1547132	2198951
413	1550800	2195094
414	1554555	2191361
415	1558295	2187606
416	1561907	2183674
417	1565608	2179865
418	1569237	2175959
419	1573034	2172286
420	1577076	2168948
421	1580782	2165147
422	1584591	2161488
423	1588435	2157874
424	1592086	2153999
425	1596003	2150483
426	1599855	2146878
427	1603792	2143386
428	1607989	2140237
429	1612158	2137046
430	1617625	2135565
431	1621767	2132323
432	1625450	2128476
433	1629243	2124774
434	1632999	2121021
435	1636770	2117290
436	1640948	2114083
437	1645088	2110821
438	1648994	2107256
439	1653263	2104153
440	1657849	2101446
441	1662114	2098325
442	1666568	2095437
443	1670553	2091954
444	1674529	2088458
445	1678626	2085109
446	1682265	2081191
447	1686483	2077988
448	1690080	2074018
449	1693705	2070085
450	1697414	2066253
451	1701085	2062378
452	1704675	2058405
453	1708383	2054575
454	1711966	2050597
455	1715598	2046678
456	1719384	2042945
457	1722991	2038998
458	1726571	2035021
459	1730207	2031112
460	1733798	2027152
461	1737385	2023189
462	1741065	2019334
463	1744655	2015378
464	1748272	2011452
465	1751953	2007602
466	1755568	2003679
467	1759137	1999703
468	1762918	1995969
469	1766524	1992038
470	1770354	1988360
471	1774027	1984505
472	1777607	1980547
473	1781211	1976618
474	1785653	1973617
475	1789799	1970283
476	1793395	1966343
477	1797060	1962479
478	1801073	1958996
479	1805130	1955557
480	1809411	1952358
481	1813634	1949092
482	1817902	1945870
483	1821557	1941991
484	1825376	1938286
485	1829047	1934424
486	1833134	1931002
487	1836771	1927104
488	1840368	1923166
489	1844002	1919267
490	1847569	1915300
491	1851295	1911500
492	1854943	1907619
493	1858516	1903662
494	1862334	1899957
495	1866213	1896313
496	1870029	1892605
497	1874171	1889225
498	1878721	1886251
499	1882332	1882332
500	1886075	1878545
501	1889849	1874791
502	1893512	1870925
503	1897519	1867399
504	1901445	1863793
505	1905234	1860051
506	1908904	1856193
507	1912773	1852529
508	1916658	1848879
509	1920338	1845030
510	1923985	1841152
511	1928087	1837708
512	1931810	1833901
513	1935438	1830006
514	1939100	1826142
515	1943309	1822794
516	1947303	1819241
517	1951823	1816175
518	1956091	1812870
519	1959866	1809107
520	1963524	1805236
521	1967381	1801548
522	1971041	1797679
523	1974794	1793897
524	1978447	1790023
525	1982104	1786155
526	1985692	1782224
527	1989397	1778400
528	1993030	1774513
529	1996661	1770624
530	2000338	1766777
531	2004010	1762926
532	2007577	1758984
533	2011158	1755055
534	2014887	1751257
535	2018455	1747319
536	2022088	1743439
537	2025779	1739610
538	2029367	1735692
539	2032937	1731761
540	2036584	1727897
541	2040213	1724018
542	2043853	1720148
543	2048086	1716778
544	2051788	1712961
545	2055770	1709377
546	2059934	1705941
547	2063799	1702257
548	2067538	1698469
549	2071406	1694787
550	2075102	1690963
551	2079733	1687900
552	2083447	1684088
553	2087034	1680176
554	2091406	1676893
555	2095495	1673381
556	2099241	1669594
557	2103935	1666558
558	2108113	1663109
559	2111903	1659352
560	2115492	1655439
561	2119170	1651595
562	2122788	1647706
563	2126391	1643806
564	2130072	1639967
565	2133662	1636059
566	2137255	1632154
567	2140943	1628323
568	2144541	1624424
569	2148104	1620499
570	2151842	1616708
571	2155439	1612811
572	2159097	1608961
573	2162827	1605164
574	2166426	1601271
575	2169991	1597354
576	2173608	1593477
577	2177385	1589717
578	2181238	1586012
579	2185795	1582817
580	2191129	1580177
581	2195734	1577004
582	2200201	1573728
583	2204819	1570556
584	2209303	1567283
585	2213868	1564064
586	2218387	1560807
587	2222862	1557516
588	2227436	1554289
589	2231822	1550927
590	2236355	1547663
591	2240869	1544383
592	2245302	1541042
593	2249882	1537798
594	2254377	1534492
595	2258925	1531218
596	2263398	1527889
597	2268075	1524693
598	2272611	1521398
599	2277144	1518096
600	2281657	1514777
601	2286187	1511466
602	2290743	1508167
603	2295307	1504870
604	2299836	1501546
605	2304385	1498230
606	2308892	1494883
607	2313384	1491524
608	2317896	1488173
609	2322491	1484871
610	2326994	1481507
611	2331468	1478120
612	2336018	1474778
613	2340523	1471404
614	2345053	1468041
615	2349602	1464687
616	2354089	1461290
617	2358545	1457871
618	2363096	1454506
619	2367668	1451151
620	2372108	1447711
621	2376725	1444376
622	2381195	1440948
623	2385718	1437548
624	2390214	1434128
625	2394706	1430703
626	2399117	1427225
627	2403699	1423847
628	2408229	1420434
629	2412777	1417028
630	2417355	1413635
631	2421877	1410207
632	2426324	1406731
633	2430892	1403322
634	2435203	1399762
635	2439778	1396351
636	2444363	1392941
637	2448798	1389443
638	2453414	1386044
639	2457909	1382574
