,Name,Accuracy,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4,Precision_5,Precision_6,Precision_7,Precision_8,Precision_9,Precision_10,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Recall_5,Recall_6,Recall_7,Recall_8,Recall_9,Recall_10,f1-score_0,f1-score_1,f1-score_2,f1-score_3,f1-score_4,f1-score_5,f1-score_6,f1-score_7,f1-score_8,f1-score_9,f1-score_10
0,Logistic Regression,0.671,0.615,0.642,0.539,0.54,0.745,0.706,0.528,0.761,0.721,0.459,0.887,0.705,0.648,0.482,0.391,0.777,0.774,0.452,0.724,0.688,0.435,0.954,0.657,0.645,0.509,0.454,0.761,0.738,0.487,0.742,0.704,0.447,0.919
1,Decision Tree,0.401,0.411,0.351,0.205,0.164,0.452,0.387,0.124,0.526,0.418,0.228,0.76,0.441,0.324,0.202,0.159,0.446,0.312,0.177,0.486,0.398,0.233,0.786,0.425,0.337,0.204,0.162,0.449,0.345,0.146,0.506,0.408,0.231,0.773
2,KNN,0.577,0.557,0.553,0.368,0.327,0.576,0.705,0.311,0.651,0.622,0.453,0.908,0.691,0.6,0.43,0.478,0.631,0.591,0.226,0.595,0.617,0.249,0.913,0.617,0.575,0.397,0.388,0.602,0.643,0.262,0.621,0.62,0.321,0.911
3,SVC,0.654,0.639,0.655,0.443,0.522,0.682,0.644,0.833,0.695,0.675,0.479,0.902,0.709,0.686,0.412,0.348,0.747,0.72,0.242,0.741,0.633,0.477,0.954,0.672,0.67,0.427,0.417,0.713,0.68,0.375,0.717,0.653,0.478,0.927
4,AdaBoost,0.481,0.495,0.44,0.286,0.356,0.449,0.422,0.104,0.542,0.503,0.314,0.895,0.427,0.457,0.281,0.304,0.472,0.495,0.081,0.665,0.594,0.249,0.89,0.459,0.449,0.283,0.328,0.46,0.455,0.091,0.597,0.545,0.277,0.893
5,Gradient Boosting,0.621,0.616,0.607,0.419,0.396,0.649,0.674,0.386,0.735,0.652,0.407,0.929,0.686,0.648,0.386,0.275,0.721,0.667,0.274,0.719,0.586,0.43,0.913,0.649,0.627,0.402,0.325,0.683,0.67,0.321,0.727,0.617,0.418,0.921
6,Random Forest,0.618,0.602,0.663,0.429,0.457,0.565,0.649,0.571,0.7,0.658,0.47,0.87,0.673,0.619,0.474,0.232,0.742,0.677,0.065,0.681,0.617,0.409,0.965,0.635,0.64,0.45,0.308,0.642,0.663,0.116,0.69,0.637,0.438,0.915
7,XGBoost,0.644,0.62,0.651,0.453,0.5,0.66,0.66,0.511,0.707,0.653,0.467,0.918,0.682,0.676,0.377,0.377,0.734,0.71,0.371,0.719,0.617,0.44,0.965,0.649,0.664,0.411,0.43,0.695,0.684,0.43,0.713,0.635,0.453,0.941
8,CatBoost,0.657,0.646,0.644,0.475,0.491,0.698,0.629,0.55,0.704,0.669,0.497,0.907,0.714,0.638,0.421,0.377,0.755,0.71,0.355,0.746,0.648,0.451,0.954,0.678,0.641,0.447,0.426,0.726,0.667,0.431,0.724,0.659,0.473,0.93
9,LightGBM,0.65,0.619,0.66,0.541,0.562,0.639,0.756,0.625,0.694,0.684,0.439,0.922,0.709,0.61,0.465,0.261,0.73,0.667,0.323,0.735,0.625,0.508,0.96,0.661,0.634,0.5,0.356,0.681,0.709,0.426,0.714,0.653,0.471,0.941
