iter	MultiClass
0	2.282386954
1	2.190574294
2	2.116573624
3	2.048004747
4	1.984334984
5	1.933830507
6	1.887501577
7	1.837863607
8	1.793975437
9	1.761555843
10	1.728528431
11	1.691425569
12	1.659888041
13	1.63327278
14	1.605417679
15	1.580051638
16	1.55364393
17	1.53516632
18	1.517165812
19	1.497168607
20	1.479513312
21	1.461820071
22	1.443817883
23	1.422880949
24	1.406299709
25	1.391054103
26	1.375402908
27	1.359553054
28	1.345044651
29	1.332489796
30	1.320504373
31	1.308966552
32	1.294749728
33	1.28330736
34	1.271742001
35	1.260851607
36	1.24965876
37	1.23902884
38	1.228836725
39	1.218121293
40	1.206643538
41	1.198171103
42	1.187850849
43	1.179413144
44	1.168806658
45	1.160541325
46	1.151933689
47	1.142858805
48	1.13579336
49	1.127783356
50	1.1199683
51	1.112653397
52	1.104272041
53	1.09785325
54	1.090945977
55	1.083967126
56	1.078270737
57	1.072608992
58	1.067428456
59	1.062068071
60	1.056059736
61	1.048942436
62	1.043949823
63	1.039475573
64	1.033562812
65	1.028204869
66	1.023352968
67	1.017714686
68	1.011857121
69	1.006196349
70	1.001417778
71	0.9956586162
72	0.9896933244
73	0.9846498983
74	0.9797339092
75	0.9744222089
76	0.9689700323
77	0.9638304647
78	0.9586513427
79	0.9535486711
80	0.9508053048
81	0.94579837
82	0.9412917788
83	0.9358159158
84	0.9315976745
85	0.9277729055
86	0.9242253766
87	0.9191984132
88	0.9138698382
89	0.9098415768
90	0.9058197933
91	0.901380986
92	0.8969279491
93	0.8939914334
94	0.8902031137
95	0.8863174828
96	0.8817888148
97	0.8793173513
98	0.8755538145
99	0.871503285
100	0.8678280678
101	0.8647207854
102	0.8617725802
103	0.8580728766
104	0.8543106005
105	0.8510687157
106	0.8474528284
107	0.8444574196
108	0.8402051716
109	0.8377887274
110	0.8333211669
111	0.82985734
112	0.8269790874
113	0.8226046316
114	0.8190819362
115	0.8155867149
116	0.8139122724
117	0.8116198273
118	0.8094979559
119	0.8071171311
120	0.8039847391
121	0.8016128502
122	0.7990472453
123	0.795928947
124	0.7933061487
125	0.7906935198
126	0.7874199392
127	0.7855681029
128	0.7829622284
129	0.7799108937
130	0.7782747872
131	0.7769240462
132	0.7741140517
133	0.7719088634
134	0.7689610431
135	0.7669672142
136	0.7649330002
137	0.7624787053
138	0.7596158307
139	0.7574949452
140	0.7556250105
141	0.7541713068
142	0.7519001126
143	0.7499157164
144	0.7487095204
145	0.747292323
146	0.7453067702
147	0.7431350126
148	0.7404173483
149	0.7387241793
150	0.7351752447
151	0.7331358416
152	0.7313313752
153	0.7289900525
154	0.7275278759
155	0.7252884858
156	0.7223306165
157	0.7203187989
158	0.7186890306
159	0.7158946251
160	0.7128853706
161	0.710906699
162	0.7089801642
163	0.7079831568
164	0.7061732301
165	0.7040672571
166	0.7025881548
167	0.7010747976
168	0.699597926
169	0.6963530416
170	0.6951779927
171	0.6937322712
172	0.6919666134
173	0.6898924149
174	0.6882805039
175	0.6866133519
176	0.6850362
177	0.6840901446
178	0.6829687066
179	0.6815392404
180	0.6803493621
181	0.6787843915
182	0.6771546776
183	0.6755085487
184	0.6739703898
185	0.6728569177
186	0.6714331756
187	0.6698965172
188	0.6688307051
189	0.6667375625
190	0.6652013895
191	0.6634094786
192	0.6618871509
193	0.6607121337
194	0.6593241692
195	0.6570559517
196	0.6551178171
197	0.6535042611
198	0.6524691752
199	0.6503234096
200	0.6489732996
201	0.6477972138
202	0.6464074454
203	0.6447058457
204	0.6430113381
205	0.641631961
206	0.6402824099
207	0.639211127
208	0.6375640958
209	0.636088624
210	0.6345941353
211	0.6332143503
212	0.6320576505
213	0.6309059336
214	0.6296454526
215	0.6285282541
216	0.6274059797
217	0.626217905
218	0.6247690824
219	0.6235940413
220	0.6221806347
221	0.620671148
222	0.6193291667
223	0.6181132055
224	0.6170278587
225	0.6158082769
226	0.614452787
227	0.6133547386
228	0.6123855669
229	0.6107906464
230	0.6098779311
231	0.6084969502
232	0.60728214
233	0.6056506312
234	0.6045205319
235	0.603346861
236	0.6021092629
237	0.6012594261
238	0.5997655493
239	0.5983984808
240	0.5974719589
241	0.5965461501
242	0.5956708775
243	0.5938049457
244	0.593237356
245	0.5926054535
246	0.5916876943
247	0.5910314717
